millis,mA
36723,2.00
36725,1.60
36728,2.10
36731,0.30
36733,1.50
36737,1.80
36739,2.00
36742,1.70
36745,2.00
36747,1.80
36750,1.90
36752,1.40
36755,2.20
36758,2.40
36760,1.70
36763,2.10
36766,2.30
36768,2.00
36771,1.70
36774,1.80
36776,2.50
36780,0.40
36782,1.20
36785,1.60
36788,2.10
36790,1.80
36793,1.30
36795,1.50
36798,1.80
36801,1.30
36803,1.30
36806,2.30
36809,2.10
36811,1.60
36814,2.00
36816,2.20
36819,1.80
36823,1.20
36825,2.00
36828,1.80
36831,1.60
36833,1.70
36836,1.80
36838,1.90
36841,1.50
36844,1.80
36846,1.80
36849,1.90
36852,1.30
36854,2.10
36857,1.90
36859,2.50
36862,1.90
36866,1.80
36868,3.30
36871,1.60
36874,2.10
36876,1.80
36879,1.50
36881,1.90
36884,1.80
36887,2.00
36889,1.50
36892,1.80
36895,2.00
36897,1.70
36900,1.50
36902,2.10
36905,1.90
36909,4.10
36911,1.90
36914,2.20
36917,8.70
36919,6.70
36922,7.30
36924,6.50
36927,6.80
36930,6.80
36932,6.80
36935,7.00
36938,22.60
36940,22.80
36943,18.20
36946,23.50
36948,21.50
36952,24.20
36955,6.20
36957,25.10
36960,24.20
36963,22.10
36965,21.90
36968,27.90
36971,24.00
36974,22.00
36976,22.00
36979,4.10
36982,4.70
36984,4.20
36987,3.60
36989,3.90
36993,4.70
36996,3.40
36998,0.60
37001,3.60
37004,3.80
37006,3.30
37009,3.60
37011,3.90
37014,3.40
37017,3.20
37019,3.60
37022,6.30
37025,3.50
37027,3.50
37030,5.00
37032,3.60
37036,3.10
37039,3.20
37041,3.90
37044,3.60
37047,3.50
37049,3.90
37052,3.80
37054,2.30
37057,2.80
37060,3.90
37062,3.20
37065,3.30
37068,3.30
37070,5.90
37073,3.60
37075,2.90
37079,5.40
37082,3.80
37084,3.10
37087,3.60
37090,3.50
37092,3.70
37095,3.00
37097,3.00
37100,3.70
37103,2.70
37105,3.50
37108,3.60
37111,3.20
37113,3.70
37116,3.40
37118,3.50
37122,3.40
37125,3.10
37127,3.00
37130,3.70
37133,3.60
37135,3.00
37138,3.50
37140,3.90
37143,3.50
37146,3.10
37148,3.40
37151,3.60
37154,3.30
37156,3.40
37159,3.40
37161,3.30
37165,3.00
37168,3.00
37170,3.60
37173,3.10
37176,3.00
37178,3.90
37181,3.70
37183,5.60
37186,3.50
37189,3.70
37191,4.80
37194,3.30
37197,3.50
37199,3.00
37202,3.40
37204,3.00
37208,3.30
37211,3.60
37213,3.20
37216,3.10
37219,3.70
37221,3.30
37224,3.00
37226,3.70
37229,3.90
37232,6.00
37234,3.10
37237,4.00
37239,6.20
37242,3.10
37245,3.60
37248,4.10
37251,3.50
37254,3.20
37256,3.60
37259,3.60
37261,3.00
37264,3.00
37267,4.10
37269,3.50
37272,2.80
37275,3.90
37277,3.90
37280,3.30
37283,2.90
37285,3.70
37288,3.40
37291,3.40
37294,3.20
37297,2.10
37299,2.00
37302,1.60
37305,1.70
37307,1.90
37310,1.80
37312,1.70
37315,2.20
37318,1.80
37320,1.30
37323,1.90
37326,2.00
37328,1.20
37331,1.60
37334,1.70
37337,1.80
37340,1.90
37342,1.60
37345,1.80
37348,1.80
37350,1.70
37353,1.50
37355,1.80
37358,1.60
37361,1.50
37363,2.10
37366,1.90
37369,1.40
37371,2.00
37374,2.40
37377,1.70
37380,1.80
37383,1.80
37385,1.70
37388,1.80
37391,1.50
37393,2.10
37396,1.90
37398,1.70
37401,1.70
37404,2.30
37406,1.80
37409,1.50
37412,2.10
37414,2.20
37417,1.70
37420,1.80
37423,2.10
37426,2.00
37428,1.60
37431,1.80
37434,1.60
37436,1.90
37439,1.70
37441,1.80
37444,1.80
37447,1.40
37449,1.50
37452,1.90
37455,1.80
37457,1.40
37460,2.00
37463,2.00
37466,1.70
37469,1.60
37471,2.20
37474,1.80
