millis,mA
40805,2.10
40808,2.00
40811,1.50
40813,1.70
40816,2.40
40819,1.50
40821,1.50
40824,2.10
40826,2.20
40829,1.60
40833,1.70
40835,2.10
40838,1.70
40841,1.40
40843,1.90
40846,1.80
40848,2.10
40851,1.80
40854,2.30
40856,2.10
40859,1.50
40862,2.10
40864,2.10
40867,1.80
40869,1.40
40872,0.40
40876,2.10
40878,1.70
40881,1.50
40884,2.20
40886,1.80
40889,1.70
40891,2.40
40894,1.90
40897,1.70
40899,1.70
40902,2.10
40905,1.80
40907,1.40
40910,2.10
40912,1.90
40915,1.80
40919,1.80
40921,0.90
40924,1.80
40927,1.50
40929,1.30
40932,1.80
40934,1.70
40937,1.80
40940,2.10
40942,1.40
40945,1.60
40948,1.80
40950,2.00
40953,1.50
40955,1.60
40958,2.20
40962,1.90
40964,1.70
40967,1.60
40970,2.40
40972,1.80
40975,1.40
40977,-0.40
40980,1.80
40983,1.80
40985,2.10
40988,2.00
40991,1.80
40993,1.80
40996,1.90
40998,2.00
41001,1.60
41005,1.60
41007,2.10
41010,2.60
41013,7.10
41015,7.40
41018,3.80
41020,6.30
41023,6.70
41026,4.40
41028,6.40
41031,6.40
41034,23.20
41036,23.00
41039,23.70
41042,23.20
41044,23.60
41048,23.50
41051,6.20
41053,24.20
41056,24.40
41059,22.30
41061,29.70
41064,24.20
41067,22.20
41070,22.00
41072,40.50
41075,4.40
41078,3.80
41080,3.70
41083,4.70
41085,4.10
41089,3.40
41092,3.70
41094,3.80
41097,3.00
41100,3.50
41102,3.80
41105,3.30
41107,3.60
41110,3.80
41113,3.70
41115,3.40
41118,3.00
41121,3.70
41123,3.50
41126,3.10
41128,3.60
41132,3.50
41135,3.10
41137,3.50
41140,4.00
41142,3.40
41145,3.20
41148,3.60
41150,3.80
41153,3.20
41156,3.40
41158,3.50
41161,3.60
41163,3.40
41166,3.30
41169,3.50
41171,3.70
41175,3.30
41178,3.40
41180,3.90
41183,3.10
41185,3.50
41188,3.50
41191,3.10
41193,3.40
41196,4.00
41199,4.00
41201,2.90
41204,3.60
41206,3.90
41209,3.90
41212,3.40
41214,3.90
41218,3.70
41221,3.30
41223,3.30
41226,3.80
41228,3.40
41231,2.80
41234,3.50
41236,3.80
41239,3.40
41242,3.80
41244,4.10
41247,3.40
41249,3.00
41252,3.90
41255,3.80
41257,3.50
41261,3.40
41264,3.80
41266,3.30
41269,2.90
41271,3.60
41274,3.70
41277,3.00
41279,3.50
41282,3.70
41285,3.70
41287,3.00
41290,3.80
41292,4.10
41295,3.50
41298,2.90
41300,4.10
41304,3.20
41307,3.30
41309,3.70
41312,3.60
41314,3.30
41317,3.70
41320,3.80
41322,3.50
41325,3.30
41328,3.50
41330,3.50
41333,3.30
41335,3.30
41338,3.70
41341,3.60
41344,2.90
41347,3.60
41350,3.70
41352,3.40
41355,3.00
41357,4.40
41360,3.20
41363,2.60
41365,4.00
41368,3.30
41371,3.10
41373,3.70
41376,3.60
41378,3.60
41381,3.10
41384,3.80
41387,3.50
41390,2.00
41393,1.70
41395,1.70
41398,2.30
41400,1.80
41403,2.20
41406,2.20
41408,1.80
41411,1.20
41414,2.40
41416,1.90
41419,1.50
41421,2.30
41424,2.10
41427,1.40
41430,1.70
41433,1.90
41436,1.80
41438,1.80
41441,2.10
41444,2.00
41446,2.30
41449,1.30
41451,2.10
41454,2.10
41457,1.60
41459,1.80
41462,2.10
41465,1.60
41467,1.30
41470,2.30
41473,2.10
41476,1.30
41479,1.80
41481,2.10
41484,1.70
41487,0.60
41489,2.30
41492,2.10
41494,1.30
41497,1.80
41500,2.10
41502,1.90
41505,1.50
41508,2.00
41510,2.30
41513,1.70
41516,2.10
41519,2.10
41522,1.80
41524,1.30
41527,2.20
41530,1.80
41532,1.60
41535,1.80
41537,1.90
41540,1.70
41543,1.60
41545,2.00
41548,1.80
41551,1.80
41553,1.80
41556,2.30
41559,2.10
41562,1.80
41565,2.30
41567,2.10
41570,1.50
41573,1.60
41575,2.20
41578,1.80
41580,1.50
41583,0.70
41586,1.90
41588,1.60
41591,1.40
41594,2.00
41596,1.80
41600,1.60
41602,1.80
41605,1.60
41608,1.30
41610,1.50
41613,2.10
41615,1.80
41618,1.50
41621,2.30
41623,1.70
41626,1.60
41629,2.20
41631,1.60
41634,1.70
41636,1.40
41639,1.70
41643,1.80
41645,1.80
41648,2.30
41651,2.20
41653,1.60
41656,2.10
41658,1.80
41661,1.60
41664,1.50
41666,1.60
41669,2.20
41672,1.80
41674,1.40
41677,2.00
41679,-0.50
41682,1.50
41686,1.60
41688,1.20
41691,1.50
41694,1.40
41696,2.40
41699,2.10
41701,1.50
41704,2.00
41707,1.90
41709,1.50
41712,1.70
41715,2.00
41717,1.90
41720,1.50
41722,1.80
41725,2.30
41729,0.90
41731,1.50
41734,2.00
41737,1.10
41739,1.50
41742,2.10
41744,2.50
41747,1.90
41750,1.50
41752,2.20
41755,2.20
41758,1.20
41760,1.50
41763,2.40
41765,1.60
41768,2.00
41772,2.00
41774,2.00
41777,1.30
41780,2.20
41782,2.30
41785,-0.60
41787,1.40
41790,2.20
41793,1.80
41795,1.60
41798,1.80
41801,1.90
41803,1.80
41806,1.50
41808,3.80
41811,2.00
41815,1.20
41817,2.00
41820,2.60
41822,1.60
41825,-1.00
41828,1.90
41830,1.90
41833,-0.90
41836,1.70
41838,1.70
41841,1.60
41843,1.50
41846,2.10
41849,1.90
41851,1.60
41854,1.60
41858,2.80
41860,1.80
41863,1.60
41865,2.60
41868,2.00
41871,2.00
41873,1.70
41876,1.90
41879,1.60
41881,1.40
41884,1.70
41886,2.10
41889,1.80
41892,1.80
41894,1.90
41897,1.60
41901,1.80
41903,1.90
41906,2.60
41908,1.70
41911,1.10
41914,3.60
41916,1.60
41919,1.40
41922,2.10
41924,2.20
41927,1.60
41930,1.50
41932,1.90
41935,1.90
41937,0.70
41940,1.90
41944,2.00
41946,1.70
41949,1.40
41952,2.10
41954,3.90
41957,1.60
41959,1.80
41962,4.00
41965,1.50
41967,1.60
41970,2.40
41973,1.90
41975,1.60
41978,1.80
41980,2.40
41984,1.70
41987,1.20
41989,2.00
41992,2.00
41995,1.50
41997,1.60
42000,2.00
42002,1.30
42005,1.60
42008,1.90
42010,2.00
42013,1.50
42016,1.40
42018,1.90
42021,2.10
42023,1.30
42027,1.70
42030,2.00
42032,1.80
42035,-0.90
42038,2.10
42040,2.00
42043,1.30
42045,1.80
42048,1.80
42051,1.60
42053,1.90
42056,1.70
42058,1.90
42061,1.80
42064,1.50
42066,2.50
42070,2.30
42073,1.30
42075,2.00
42078,2.00
42080,2.10
42083,1.30
42086,2.00
42088,2.30
42091,1.70
42094,1.70
42096,2.10
42099,1.50
42101,1.30
42104,1.80
42107,2.00
42109,1.90
42113,1.80
42116,2.20
42118,2.20
42121,1.30
42123,2.10
42126,1.80
42129,1.70
42131,1.20
42134,1.80
42137,1.80
42139,1.60
42142,1.50
42145,1.90
42147,1.60
42150,1.40
42152,1.50
42156,1.60
42159,1.70
42161,1.60
42164,3.90
42166,1.90
42169,1.60
42172,2.70
42174,2.00
42177,1.80
42180,1.30
42182,1.70
42185,1.70
42187,1.20
42190,1.50
42193,2.10
42195,1.70
42199,1.70
42202,1.70
42204,2.20
42207,2.20
42209,1.80
42212,2.50
42215,2.00
42217,1.30
42220,2.70
42223,2.20
42225,2.10
42228,1.50
42230,2.10
42233,1.90
42236,1.50
42238,1.20
42242,1.50
42245,1.70
42247,1.80
42250,1.20
42252,1.80
42255,1.90
42258,1.70
42260,1.30
42263,2.00
42266,1.70
42268,3.70
42271,1.70
42273,2.10
42276,1.60
42279,1.70
42281,2.40
42285,1.90
42288,1.70
42290,1.30
42293,1.80
42295,1.90
42298,1.80
42301,1.30
42303,2.60
42306,1.70
42309,4.00
42311,1.90
42314,1.70
42317,4.20
42319,1.60
42322,2.30
42324,1.50
42328,1.60
42331,1.90
42333,1.90
42336,1.70
42339,1.30
42341,1.70
42344,2.10
42346,1.50
42349,1.60
42352,2.00
42354,1.90
42357,1.20
42359,2.00
42362,2.30
42365,1.70
42368,1.70
42371,2.10
42374,1.80
42376,1.60
42379,1.90
42381,1.70
42384,1.80
42387,1.80
42389,1.60
42392,1.80
42395,1.80
42397,1.60
42400,2.30
42402,1.50
42405,1.10
42408,2.00
42411,1.80
42414,1.50
42417,1.40
42419,2.30
42422,1.70
42424,1.50
42427,1.80
42430,1.90
42432,1.80
42435,1.80
42438,2.00
42440,1.70
42443,1.50
42446,1.60
42448,2.10
42451,1.70
42454,1.00
42457,2.30
42460,1.80
42462,1.60
42465,1.60
42467,2.10
42470,2.00
42473,1.30
42475,1.80
42478,2.00
42481,1.80
42483,1.50
42486,2.00
42488,2.30
42491,1.50
42494,1.50
42497,2.20
42500,1.80
42503,1.20
42505,1.60
42508,1.70
42510,1.80
42513,1.60
42516,2.20
42518,2.00
42521,1.70
42524,1.30
42526,2.00
42529,1.70
42531,1.50
42534,2.20
42537,2.10
42540,1.20
42543,1.90
42546,2.20
42548,2.00
42551,1.50
42553,2.30
42556,1.80
42559,1.70
42561,1.50
42564,1.80
42567,1.70
42569,1.70
42572,1.90
42575,2.00
42577,1.80
42580,1.60
42583,2.20
42586,2.30
42589,1.90
42591,1.20
42594,2.20
42597,1.80
42599,1.40
42602,1.80
42604,2.20
42607,1.90
42610,1.70
42612,2.20
42615,1.90
42618,2.10
42620,1.40
42624,2.20
42626,2.00
42629,1.70
42632,1.50
42634,2.50
42637,1.70
42639,1.60
42642,1.90
42645,2.20
42647,2.00
42650,1.90
42653,1.80
42655,1.80
42658,1.80
42661,2.00
42663,2.10
42667,1.50
42669,1.40
42672,2.10
42675,1.90
42677,1.90
42680,1.20
42682,2.70
42685,2.00
42688,1.30
42690,2.00
42693,2.20
42696,1.50
42698,1.50
42701,2.30
42703,2.30
42706,1.50
42710,1.30
42712,2.20
42715,1.60
42718,1.60
42720,2.10
42723,1.80
42725,1.70
42728,1.40
42731,2.30
42733,1.60
42736,1.30
42739,2.10
42741,1.70
42744,1.70
42746,1.80
42749,1.80
42753,1.70
42755,1.50
42758,1.80
42761,1.80
42763,1.70
42766,1.60
42768,2.20
42771,1.90
42774,1.70
42776,1.70
42779,2.30
42782,1.60
42784,1.50
42787,2.00
42789,1.90
42792,1.60
42796,1.40
42798,1.80
42801,1.70
42804,1.80
42806,1.70
42809,2.00
42811,1.60
42814,1.80
42817,2.00
42819,1.50
42822,1.70
42825,1.80
42827,2.30
42830,1.80
42832,1.50
42835,2.00
42839,1.90
42841,1.70
42844,1.90
42847,2.00
42849,2.00
42852,1.70
42855,1.70
42857,1.90
42860,1.60
42862,1.30
42865,1.60
42868,0.90
42870,1.50
42873,1.60
42876,2.10
42878,1.60
42882,1.40
42884,1.90
42887,1.90
42890,1.80
42892,1.80
42895,2.20
42898,2.00
42900,1.60
42903,1.90
42905,1.90
42908,1.60
42911,1.00
42913,2.00
42916,-0.90
42919,1.30
42921,1.80
42925,2.10
42927,1.70
42930,1.50
42933,2.20
42935,2.00
42938,1.60
42940,1.60
42943,1.90
42946,2.00
42948,1.50
42951,1.90
42954,2.30
42956,1.80
42959,1.80
42961,1.90
42964,2.10
42968,1.90
42970,1.70
42973,1.80
42976,1.80
42978,1.20
42981,2.10
42983,2.10
42986,1.70
42989,1.60
42991,1.90
42994,1.70
42997,1.60
42999,1.90
43002,2.30
43005,2.00
43008,1.60
43011,2.20
43013,1.90
43016,1.60
43019,1.60
43021,2.00
43024,1.70
43027,1.60
43029,1.50
43032,2.00
43034,1.60
43037,2.00
43040,2.30
43042,1.50
43045,1.60
43048,2.00
43051,1.80
43054,2.00
43056,1.90
43059,7.50
43062,6.80
43064,6.20
43067,6.50
43070,5.00
43072,6.50
43075,6.20
43077,5.50
43080,22.80
43083,22.70
43085,23.80
43088,23.60
43091,23.90
43094,23.60
43097,6.70
43100,24.30
43102,23.80
43105,22.10
43108,22.50
43111,24.10
43113,23.80
43116,22.30
43119,22.00
43121,87.20
43124,70.60
43127,85.40
43129,109.90
43132,125.70
43136,128.30
43139,33.40
43141,21.20
43144,30.30
43147,25.30
43149,33.20
43152,27.00
43155,22.40
43157,34.90
43160,26.70
43163,22.70
43166,35.20
43168,26.00
43171,22.50
43174,33.30
43176,25.60
43180,23.20
43183,13.50
43185,24.10
43188,25.30
43191,15.70
43194,22.50
43196,23.10
43199,19.00
43202,22.60
43204,23.60
43207,20.70
43210,23.20
43212,21.50
43215,23.20
43218,22.50
43220,27.40
43224,30.60
43227,28.50
43230,28.90
43232,31.20
43235,32.70
43238,29.60
43240,31.90
43243,31.60
43246,27.40
43248,31.00
43251,28.10
43254,29.00
43257,31.60
43259,28.00
43262,33.80
43266,29.80
43268,27.00
43271,37.60
43274,28.80
43276,28.50
43279,33.20
43282,30.40
43284,29.40
43287,37.10
43290,31.80
43293,28.10
43295,19.80
43298,29.80
43301,28.30
43303,18.70
43307,28.60
43310,27.50
43312,25.60
43315,27.00
43318,27.90
43321,25.70
43323,28.70
43326,29.10
43329,30.10
43331,26.80
43334,28.80
43337,30.40
43339,30.80
43342,26.90
43345,30.90
43348,28.20
43351,27.20
43354,30.10
43357,30.10
43359,24.70
43362,32.80
43365,27.90
43367,24.70
43370,30.90
43373,30.50
43376,27.00
43378,28.40
43381,31.10
43384,25.90
43386,30.10
43389,30.10
43393,38.20
43395,28.20
43398,28.90
43401,39.10
43403,29.60
43406,27.90
43409,18.80
43412,28.10
43414,28.00
43417,22.00
43420,26.80
43422,28.20
43425,23.40
43428,32.10
43430,26.30
43433,20.70
43437,26.70
43440,25.20
43442,28.20
43445,25.60
43448,29.70
43450,30.90
43453,30.00
43456,25.00
43458,27.20
43461,27.00
43464,26.10
43466,29.30
43469,26.50
43472,25.10
43475,28.30
43478,24.50
43481,25.50
43484,28.90
43486,22.50
43489,27.40
43492,27.00
43494,28.20
43497,25.50
43500,29.10
43503,26.10
43505,26.10
43508,26.00
43511,26.60
43513,24.00
43516,25.80
43520,27.30
43522,23.00
43525,27.80
43528,27.50
43530,17.60
43533,25.30
43536,26.30
43539,22.10
43541,24.60
43544,26.40
43547,20.90
43549,29.90
43552,25.90
43555,26.00
43557,27.70
43560,25.90
43564,28.70
43567,27.40
43569,27.40
43572,30.40
43575,28.80
43577,26.80
43580,28.60
43583,27.40
43585,27.40
43588,27.00
43591,27.00
43593,26.50
43596,30.90
43599,30.70
43602,25.70
43604,25.50
43608,26.10
43611,25.70
43613,26.90
43616,24.90
43619,25.50
43621,28.30
43624,27.20
43627,27.20
43629,26.90
43632,27.20
43635,23.60
43638,26.30
43640,28.00
43643,22.60
43646,27.70
43649,28.20
43652,22.00
43655,29.00
43657,27.10
43660,23.00
43663,26.50
43666,27.90
43668,33.90
43671,28.50
43674,25.30
43676,33.70
43679,25.20
43682,28.00
43684,30.70
43687,26.60
43691,25.50
43693,29.00
43696,27.10
43699,26.00
43702,31.60
43704,26.20
43707,26.60
43710,29.10
43712,26.40
43715,27.20
43718,29.50
43720,27.50
43723,25.10
43726,29.00
43728,28.20
43731,25.50
43735,29.40
43738,26.70
43740,25.80
43743,27.50
43746,27.90
43748,25.50
43751,27.50
43754,25.70
43756,27.30
43759,28.30
43762,29.30
43765,24.70
43767,27.10
43770,26.20
43773,20.70
43776,29.30
43779,27.40
43782,22.80
43784,27.60
43787,27.50
43790,20.80
43792,27.90
43795,28.50
43798,35.60
43801,26.80
43803,26.50
43806,37.60
43809,29.70
43811,29.80
43814,35.70
43817,28.50
43820,27.80
43823,28.40
43826,28.50
43829,28.10
43831,28.40
43834,27.90
43837,27.90
43839,27.90
43842,27.90
43845,25.50
43847,28.10
43850,25.60
43853,27.40
43856,29.10
43858,26.30
43862,23.00
43865,28.30
43867,26.20
43870,26.70
43873,26.80
43875,25.00
43878,22.00
43881,26.00
43883,23.30
43886,23.30
43889,29.00
43892,26.20
43894,24.80
43897,30.10
43900,27.40
43902,23.40
43906,26.30
43909,26.20
43911,20.30
43914,26.70
43917,26.60
43920,27.90
43922,28.50
43925,27.70
43928,31.70
43930,26.90
43933,23.80
43936,35.00
43938,27.60
43941,25.20
43944,32.80
43947,28.00
43950,27.30
43953,24.10
43956,25.90
43958,24.40
43961,31.10
43964,28.60
43966,24.20
43969,31.30
43972,28.10
43974,22.50
43977,29.10
43980,28.40
43983,26.70
43985,26.90
43988,25.10
43992,25.30
43994,25.40
43997,26.90
44000,24.90
44002,27.30
44005,26.20
44008,19.50
44010,25.10
44013,25.90
44016,22.50
44019,25.50
44021,27.70
44024,24.20
44027,24.60
44029,29.00
44033,20.10
44036,28.00
44038,29.10
44041,27.40
44044,28.40
44046,25.50
44049,34.80
44052,29.00
44055,26.10
44057,29.80
44060,26.90
44063,27.30
44065,34.20
44068,26.50
44071,27.00
44073,20.80
44077,25.50
44080,26.00
44083,18.00
44085,26.70
44088,27.10
44091,20.40
44093,27.50
44096,26.50
44099,21.40
44101,27.10
44104,24.20
44107,24.00
44109,26.60
44112,25.00
44115,28.20
44119,28.30
44121,23.70
44124,26.20
44127,29.50
44129,26.10
44132,25.20
44135,28.80
44137,25.20
44140,25.80
44143,28.80
44146,24.20
44148,25.90
44151,29.50
44154,18.70
44156,27.00
44160,27.00
44163,20.00
44165,25.10
44168,26.30
44171,35.10
44173,28.50
44176,28.80
44179,39.10
44182,39.30
44184,31.40
44187,232.30
44190,148.80
44192,129.40
44195,132.50
44198,122.40
44201,118.50
44204,119.40
44207,116.30
44210,111.50
44213,133.10
44215,146.30
44218,148.50
44221,150.90
44224,144.90
44226,151.00
44229,145.10
44232,149.50
44235,166.10
44237,158.90
44240,141.70
44243,156.90
44246,143.50
44249,139.60
44252,139.60
44255,152.30
44257,144.20
44260,153.10
44263,143.70
44266,140.50
44268,136.40
44271,147.20
44274,146.70
44277,134.70
44279,158.90
44282,147.20
44285,144.30
44289,140.90
44291,140.40
44294,144.10
44297,141.20
44300,139.50
44302,139.30
44305,141.00
44308,135.60
44310,140.90
44313,143.70
44316,140.30
44319,144.70
44321,145.40
44324,152.30
44327,141.90
44331,142.70
44333,145.20
44336,141.60
44339,146.90
44342,143.50
44344,142.00
44347,143.40
44350,139.70
44353,145.80
44355,146.50
44358,143.60
44361,146.00
44364,148.00
44366,154.20
44369,149.20
44372,150.50
44375,152.80
44378,150.30
44381,147.20
44384,151.20
44386,151.50
44389,150.30
44392,158.00
44395,153.90
44397,156.70
44400,160.10
44403,154.20
44406,161.60
44408,158.60
44411,165.40
44414,145.40
44418,155.50
44420,156.40
44423,148.60
44426,159.90
44429,212.30
44431,175.70
44434,192.90
44437,183.70
44439,185.20
44442,187.30
44445,187.40
44448,192.20
44450,191.60
44453,190.00
44456,187.60
44460,193.20
44462,192.70
44465,184.50
44468,195.90
44471,192.80
44473,190.90
44476,189.00
44479,191.50
44482,186.90
44484,186.80
44487,176.50
44490,190.40
44493,185.50
44495,178.10
44498,180.30
44502,184.80
44504,177.10
44507,187.50
44510,188.10
44513,184.80
44515,177.90
44518,183.20
44521,186.80
44524,182.40
44526,186.80
44529,186.10
44532,182.80
44535,189.60
44537,186.80
44540,182.10
44544,196.60
44547,193.40
44549,181.00
44552,194.60
44555,192.90
44558,200.90
44560,194.80
44563,204.20
44566,185.60
44568,196.90
44571,199.80
44574,207.30
44577,204.00
44579,208.10
44582,195.70
44585,188.40
44589,204.80
44591,192.20
44594,206.00
44597,206.50
44600,202.40
44602,206.10
44605,198.60
44608,200.90
44611,205.10
44613,209.70
44616,200.30
44619,201.70
44622,207.90
44624,200.50
44627,195.10
44631,198.40
44634,190.30
44636,203.30
44639,204.80
44642,209.30
44644,205.60
44647,212.60
44650,195.50
44653,207.00
44655,204.50
44658,186.90
44661,202.00
44664,194.80
44666,199.80
44669,201.60
44673,203.00
44676,201.70
44678,204.10
44681,197.90
44684,203.20
44687,202.90
44689,202.70
44692,203.50
44695,205.10
44697,204.90
44700,190.90
44703,208.90
44706,204.10
44708,195.40
44711,201.00
44715,197.40
44718,196.60
44720,197.30
44723,202.10
44726,194.70
44729,195.40
44731,196.70
44734,196.10
44737,192.30
44740,188.20
44742,190.90
44745,196.80
44748,181.40
44751,195.00
44753,195.10
44756,188.20
44760,201.00
44762,196.00
44765,188.50
44768,195.60
44771,195.90
44773,196.50
44776,198.80
44779,192.50
44782,196.30
44784,194.70
44787,197.30
44790,194.00
44793,195.60
44795,198.00
44798,190.80
44802,195.00
44805,199.20
44807,195.80
44810,199.10
44813,190.80
44816,186.70
44818,192.00
44821,185.50
44824,191.90
44826,207.90
44829,189.20
44832,195.30
44835,186.20
44837,188.20
44840,195.50
44844,192.20
44847,183.70
44849,184.30
44852,187.90
44855,187.40
44858,188.20
44860,187.10
44863,188.80
44866,185.50
44869,190.10
44871,190.30
44874,189.20
44877,184.30
44879,196.60
44882,188.00
44886,192.30
44889,185.50
44891,196.20
44894,190.40
44897,189.80
44900,187.90
44902,175.90
44905,191.30
44908,189.30
44911,186.70
44913,187.20
44916,182.80
44919,178.20
44922,186.50
44924,198.10
44928,177.30
44931,188.40
44934,191.70
44936,189.20
44939,187.30
44942,193.10
44944,186.60
44947,190.90
44950,188.10
44953,193.00
44955,193.00
44958,190.90
44961,184.80
44964,188.60
44966,188.00
44969,190.00
44973,195.60
44976,185.90
44978,189.90
44981,188.50
44984,200.50
44987,190.90
44989,187.30
44992,198.30
44995,188.30
44998,192.50
45000,173.70
45003,188.70
45006,190.80
45008,182.70
45011,191.00
45015,190.10
45018,182.90
45020,187.00
45023,187.40
45026,177.10
45029,194.60
45031,185.90
45034,189.00
45037,193.10
45040,189.70
45042,188.70
45045,192.00
45048,183.00
45051,188.30
45053,190.00
45057,183.10
45060,190.80
45063,189.00
45065,186.10
45068,193.40
45071,193.70
45073,201.50
45076,191.50
45079,190.40
45082,189.70
45084,195.90
45087,189.00
45090,198.30
45093,194.00
45095,192.30
45099,171.50
45102,192.10
45105,193.70
45107,179.10
45110,188.50
45113,190.70
45116,171.40
45118,191.70
45121,192.80
45124,191.10
45127,194.20
45129,187.50
45132,188.80
45135,193.00
45137,190.50
45140,192.50
45144,192.70
45147,189.60
45149,196.00
45152,194.00
45155,211.50
45158,205.90
45160,208.10
45163,211.90
45166,203.90
45169,208.10
45171,214.50
45174,205.40
45177,206.90
45180,218.20
45182,204.10
45186,203.90
45189,218.90
45191,205.70
45194,207.80
45197,193.40
45200,200.40
45202,202.90
45205,208.30
45208,205.40
45211,203.50
45213,207.40
45216,194.80
45219,202.70
45222,207.60
45224,208.00
45228,198.30
45231,203.20
45234,208.40
45236,207.00
45239,197.70
45242,201.30
45244,208.00
45247,203.80
45250,191.50
45253,196.50
45255,197.00
45258,196.70
45261,202.90
45264,192.20
45266,196.70
45270,215.50
45273,194.40
45276,199.00
45278,211.90
45281,197.20
45284,198.60
45287,205.80
45289,201.80
45292,205.80
45295,200.10
45298,201.00
45300,200.40
45303,202.90
45306,193.60
45308,207.90
45312,206.90
45315,202.90
45318,205.50
45320,208.80
45323,204.60
45326,204.40
45329,209.10
45331,205.00
45334,202.70
45337,209.70
45340,209.10
45342,207.90
45345,203.60
45348,205.80
45351,205.20
45353,206.30
45357,206.00
45360,212.00
45362,204.70
45365,205.80
45368,210.90
45371,207.20
45373,204.20
45376,215.80
45379,209.50
45382,204.60
45384,212.00
45387,211.00
45390,206.10
45393,210.90
45395,214.80
45399,203.60
45402,211.40
45405,201.40
45407,200.70
45410,198.40
45413,196.90
45416,188.70
45418,197.30
45421,201.20
45424,196.70
45427,201.90
45429,206.10
45432,189.30
45435,202.10
45437,201.20
45441,195.70
45444,198.10
45447,200.60
45449,192.60
45452,202.90
45455,201.00
45458,202.20
45460,204.50
45463,200.60
45466,195.30
45469,206.00
45471,201.90
45474,202.40
45477,193.40
45480,207.70
45483,200.70
45486,196.20
45489,195.70
45492,215.30
45494,206.20
45497,197.40
45500,205.90
45502,202.50
45505,200.80
45508,209.40
45511,209.30
45513,205.50
45516,201.00
45519,198.50
45522,206.30
45524,205.40
45528,209.70
45531,203.70
45534,205.00
45536,208.60
45539,194.20
45542,208.10
45545,206.60
45547,196.30
45550,199.90
45553,207.80
45555,211.40
45558,207.40
45561,204.50
45564,203.40
45566,208.80
45570,202.40
45573,204.70
45576,205.90
45578,208.30
45581,196.30
45584,200.60
45587,203.40
45589,207.00
45592,200.90
45595,202.60
45598,206.30
45600,202.30
45603,200.10
45606,203.60
45608,207.90
45612,198.20
45615,193.90
45618,196.70
45620,197.60
45623,198.30
45626,195.70
45629,191.00
45631,200.10
45634,209.10
45637,190.30
45640,197.30
45642,203.60
45645,185.90
45648,195.80
45651,206.60
45654,205.10
45657,202.20
45660,196.10
45663,201.80
45665,200.90
45668,204.30
45671,197.00
45674,203.70
45676,202.10
45679,208.90
45682,206.50
45684,203.50
45687,201.00
45690,203.30
45693,206.20
45696,202.40
45699,198.80
45702,204.40
45705,205.40
45707,205.00
45710,215.00
45713,206.80
45716,207.10
45718,198.10
45721,203.80
45724,206.90
45727,203.60
45729,206.40
45732,203.50
45735,195.20
45739,210.70
45741,204.40
45744,191.10
45747,207.10
45749,198.20
45752,201.60
45755,207.10
45758,206.40
45760,210.80
45763,205.80
45766,193.50
45769,201.30
45771,203.20
45774,193.50
45777,203.90
45780,201.00
45783,191.20
45786,194.70
45789,201.30
45792,213.60
45794,202.40
45797,196.80
45800,206.80
45803,205.60
45805,196.90
45808,206.80
45811,208.40
45813,198.40
45816,191.40
45819,195.60
45822,199.30
45825,207.10
45828,206.20
45831,195.80
45834,189.90
45836,206.90
45839,200.20
45842,197.30
45845,205.90
45847,205.70
45850,201.00
45853,197.90
45856,205.70
45858,202.00
45861,202.90
45864,203.20
45868,205.80
45870,211.70
45873,202.00
45876,204.70
45878,205.20
45881,213.20
45884,204.20
45887,206.20
45889,212.00
45892,202.30
45895,203.80
45898,217.00
45900,199.70
45903,202.60
45906,219.50
45910,213.00
45912,206.80
45915,206.50
45918,211.40
45921,204.20
45923,211.30
45926,200.00
45929,204.80
45932,203.60
45934,194.20
45937,200.70
45940,208.80
45942,209.40
45945,198.30
45948,202.50
45952,209.00
45954,198.20
45957,200.70
45960,207.20
45963,201.10
45965,198.70
45968,206.30
45971,205.20
45974,208.80
45976,202.10
45979,202.70
45982,189.60
45985,203.80
45987,194.00
45990,203.10
45993,200.40
45997,209.70
45999,199.00
46002,197.70
46005,203.60
46007,203.00
46010,191.70
46013,199.90
46016,200.60
46018,198.10
46021,197.20
46024,204.20
46027,198.70
46029,206.30
46032,197.30
46035,199.90
46039,202.30
46041,197.70
46044,203.70
46047,202.20
46050,195.90
46052,212.00
46055,202.80
46058,196.00
46060,202.10
46063,196.50
46066,188.40
46069,201.80
46071,196.30
46074,202.20
46077,199.10
46081,212.80
46083,195.60
46086,200.90
46089,202.30
46092,196.20
46094,207.70
46097,197.60
46100,205.70
46103,205.90
46105,206.80
46108,204.30
46111,211.80
46114,209.00
46116,203.50
46119,216.30
46123,200.80
46125,199.50
46128,205.30
46131,197.00
46134,193.30
46136,188.70
46139,191.10
46142,183.30
46145,189.20
46147,189.40
46150,187.40
46153,186.40
46156,190.80
46158,192.50
46161,191.90
46164,191.60
46168,189.80
46170,197.10
46173,192.80
46176,190.10
46179,192.80
46181,196.50
46184,184.00
46187,192.10
46189,192.80
46192,182.90
46195,192.00
46198,188.60
46200,185.10
46203,191.70
46206,189.00
46210,192.70
46212,188.60
46215,185.50
46218,190.10
46221,190.60
46223,188.40
46226,196.40
46229,187.00
46232,191.90
46234,188.10
46237,185.70
46240,187.20
46242,191.60
46245,190.10
46248,189.20
46252,189.00
46254,183.00
46257,196.10
46260,188.80
46263,192.90
46265,180.30
46268,192.20
46271,190.20
46274,178.20
46276,194.50
46279,191.10
46282,171.60
46285,193.10
46287,184.10
46290,182.70
